time,frequency,confidence
0.000,438.946,0.793955
0.010,439.921,0.853410
0.020,439.378,0.907513
0.030,440.207,0.964232
0.040,440.406,0.966954
0.050,440.209,0.963283
0.060,440.371,0.965684
0.070,440.170,0.965139
0.080,440.407,0.968131
0.090,440.406,0.966958
0.100,440.208,0.963281
0.110,440.371,0.965680
0.120,440.170,0.965142
0.130,440.407,0.968130
0.140,440.406,0.966962
0.150,440.208,0.963278
0.160,440.371,0.965677
0.170,440.170,0.965144
0.180,440.407,0.968128
0.190,440.406,0.966966
0.200,440.208,0.963275
0.210,440.371,0.965673
0.220,440.170,0.965146
0.230,440.406,0.968127
0.240,440.407,0.966970
0.250,440.207,0.963272
0.260,440.371,0.965669
0.270,440.170,0.965147
0.280,440.406,0.968125
0.290,440.407,0.966974
0.300,440.207,0.963268
0.310,440.371,0.965666
0.320,440.170,0.965149
0.330,440.406,0.968123
0.340,440.407,0.966978
0.350,440.207,0.963265
0.360,440.371,0.965662
0.370,440.170,0.965150
0.380,440.406,0.968121
0.390,440.407,0.966981
0.400,440.206,0.963262
0.410,440.371,0.965658
0.420,440.170,0.965151
0.430,440.406,0.968119
0.440,440.407,0.966984
0.450,440.206,0.963259
0.460,440.370,0.965655
0.470,440.170,0.965153
0.480,440.406,0.968117
0.490,440.408,0.966987
0.500,440.205,0.963256
0.510,440.371,0.965651
0.520,440.170,0.965154
0.530,440.405,0.968115
0.540,440.408,0.966990
0.550,440.205,0.963255
0.560,440.371,0.965648
0.570,440.170,0.965155
0.580,440.405,0.968113
0.590,440.408,0.966993
0.600,440.205,0.963253
0.610,440.371,0.965645
0.620,440.171,0.965157
0.630,440.405,0.968111
0.640,440.408,0.966996
0.650,440.205,0.963252
0.660,440.371,0.965642
0.670,440.171,0.965158
0.680,440.405,0.968109
0.690,440.408,0.967000
0.700,440.204,0.963251
0.710,440.371,0.965639
0.720,440.171,0.965158
0.730,440.405,0.968106
0.740,440.408,0.967003
0.750,440.204,0.963251
0.760,440.371,0.965635
0.770,440.171,0.965159
0.780,440.405,0.968104
0.790,440.409,0.967006
0.800,440.204,0.963250
0.810,440.371,0.965632
0.820,440.171,0.965159
0.830,440.404,0.968102
0.840,440.409,0.967010
0.850,440.203,0.963249
0.860,440.371,0.965629
0.870,440.171,0.965159
0.880,440.404,0.968101
0.890,440.409,0.967013
0.900,440.203,0.963247
0.910,440.371,0.965626
0.920,440.171,0.965160
0.930,440.404,0.968099
0.940,440.409,0.967017
0.950,440.203,0.963247
0.960,440.371,0.965623
0.970,440.171,0.965160
0.980,440.404,0.968097
0.990,440.409,0.967020
1.000,440.203,0.963246
1.010,440.371,0.965620
1.020,440.171,0.965161
1.030,440.404,0.968095
1.040,440.409,0.967024
1.050,440.202,0.963245
1.060,440.371,0.965616
1.070,440.171,0.965161
1.080,440.403,0.968094
1.090,440.410,0.967027
1.100,440.202,0.963244
1.110,440.371,0.965613
1.120,440.171,0.965161
1.130,440.403,0.968093
1.140,440.410,0.967031
1.150,440.201,0.963244
1.160,440.371,0.965609
1.170,440.171,0.965162
1.180,440.403,0.968092
1.190,440.410,0.967034
1.200,440.201,0.963244
1.210,440.371,0.965605
1.220,440.171,0.965162
1.230,440.403,0.968091
1.240,440.410,0.967038
1.250,440.201,0.963244
1.260,440.371,0.965602
1.270,440.171,0.965162
1.280,440.403,0.968090
1.290,440.410,0.967042
1.300,440.201,0.963245
1.310,440.371,0.965598
1.320,440.171,0.965162
1.330,440.403,0.968089
1.340,440.410,0.967045
1.350,440.200,0.963246
1.360,440.371,0.965595
1.370,440.171,0.965162
1.380,440.403,0.968088
1.390,440.410,0.967048
1.400,440.200,0.963248
1.410,440.371,0.965592
1.420,440.171,0.965161
1.430,440.403,0.968087
1.440,440.410,0.967051
1.450,440.200,0.963249
1.460,440.370,0.965589
1.470,440.171,0.965162
1.480,440.403,0.968086
1.490,440.410,0.967054
1.500,440.200,0.963251
1.510,440.371,0.965586
1.520,440.171,0.965162
1.530,440.403,0.968085
1.540,440.411,0.967057
1.550,440.199,0.963253
1.560,440.371,0.965583
1.570,440.171,0.965163
1.580,440.402,0.968083
1.590,440.411,0.967059
1.600,440.199,0.963253
1.610,440.370,0.965580
1.620,440.171,0.965164
1.630,440.402,0.968081
1.640,440.411,0.967062
1.650,440.199,0.963254
1.660,440.371,0.965576
1.670,440.171,0.965165
1.680,440.402,0.968080
1.690,440.411,0.967065
1.700,440.199,0.963255
1.710,440.370,0.965573
1.720,440.171,0.965165
1.730,440.402,0.968078
1.740,440.411,0.967068
1.750,440.198,0.963256
1.760,440.370,0.965570
1.770,440.172,0.965166
1.780,440.402,0.968076
1.790,440.411,0.967071
1.800,440.198,0.963257
1.810,440.371,0.965567
1.820,440.172,0.965166
1.830,440.402,0.968075
1.840,440.412,0.967075
1.850,440.198,0.963258
1.860,440.370,0.965564
1.870,440.172,0.965167
1.880,440.401,0.968072
1.890,440.412,0.967078
1.900,440.198,0.963259
1.910,440.370,0.965561
1.920,440.172,0.965168
1.930,440.401,0.968070
1.940,440.412,0.967082
1.950,440.198,0.963260
1.960,440.371,0.965559
1.970,440.172,0.965168
1.980,440.401,0.968068
1.990,440.412,0.967085
2.000,440.198,0.963261
2.010,440.371,0.965558
2.020,440.172,0.965169
2.030,440.401,0.968065
2.040,440.412,0.967088
2.050,440.197,0.963262
2.060,440.371,0.965556
2.070,440.172,0.965169
2.080,440.401,0.968063
2.090,440.412,0.967092
2.100,440.197,0.963262
2.110,440.371,0.965554
2.120,440.172,0.965170
2.130,440.401,0.968061
2.140,440.412,0.967095
2.150,440.197,0.963263
2.160,440.371,0.965552
2.170,440.172,0.965171
2.180,440.400,0.968058
2.190,440.412,0.967099
2.200,440.196,0.963263
2.210,440.371,0.965551
2.220,440.172,0.965171
2.230,440.400,0.968056
2.240,440.412,0.967102
2.250,440.196,0.963263
2.260,440.371,0.965549
2.270,440.172,0.965172
2.280,440.400,0.968053
2.290,440.412,0.967106
2.300,440.196,0.963263
2.310,440.371,0.965548
2.320,440.172,0.965172
2.330,440.400,0.968051
2.340,440.413,0.967110
2.350,440.196,0.963264
2.360,440.371,0.965547
2.370,440.172,0.965172
2.380,440.399,0.968049
2.390,440.413,0.967113
2.400,440.196,0.963264
2.410,440.371,0.965545
2.420,440.172,0.965173
2.430,440.399,0.968046
2.440,440.413,0.967116
2.450,440.195,0.963265
2.460,440.371,0.965544
2.470,440.173,0.965173
2.480,440.399,0.968044
2.490,440.413,0.967119
2.500,440.195,0.963267
2.510,440.371,0.965542
2.520,440.173,0.965173
2.530,440.399,0.968040
2.540,440.413,0.967122
2.550,440.195,0.963268
2.560,440.371,0.965539
2.570,440.173,0.965173
2.580,440.399,0.968037
2.590,440.413,0.967125
2.600,440.195,0.963270
2.610,440.371,0.965537
2.620,440.173,0.965173
2.630,440.398,0.968034
2.640,440.413,0.967129
2.650,440.194,0.963271
2.660,440.371,0.965535
2.670,440.173,0.965173
2.680,440.398,0.968032
2.690,440.413,0.967133
2.700,440.195,0.963274
2.710,440.371,0.965532
2.720,440.173,0.965173
2.730,440.398,0.968029
2.740,440.413,0.967136
2.750,440.194,0.963276
2.760,440.371,0.965530
2.770,440.173,0.965173
2.780,440.397,0.968027
2.790,440.413,0.967140
2.800,440.194,0.963279
2.810,440.371,0.965527
2.820,440.173,0.965173
2.830,440.397,0.968024
2.840,440.413,0.967144
2.850,440.194,0.963281
2.860,440.371,0.965525
2.870,440.173,0.965172
2.880,440.397,0.968021
2.890,440.413,0.967147
2.900,440.194,0.963284
2.910,440.371,0.965522
2.920,440.173,0.965171
2.930,440.397,0.968018
2.940,440.414,0.967151
2.950,440.194,0.963286
2.960,440.371,0.965520
2.970,440.173,0.965170
2.980,440.396,0.968015
2.990,440.414,0.967155
3.000,440.194,0.963289
3.010,440.371,0.965518
3.020,440.173,0.965169
3.030,440.396,0.968012
3.040,440.414,0.967158
3.050,440.194,0.963292
3.060,440.371,0.965516
3.070,440.173,0.965168
3.080,440.396,0.968009
3.090,440.414,0.967161
3.100,440.194,0.963295
3.110,440.371,0.965513
3.120,440.173,0.965167
3.130,440.396,0.968005
3.140,440.414,0.967164
3.150,440.194,0.963298
3.160,440.371,0.965511
3.170,440.173,0.965167
3.180,440.396,0.968002
3.190,440.414,0.967166
3.200,440.194,0.963301
3.210,440.371,0.965508
3.220,440.173,0.965166
3.230,440.395,0.967999
3.240,440.413,0.967167
3.250,440.194,0.963304
3.260,440.371,0.965506
3.270,440.173,0.965165
3.280,440.395,0.967995
3.290,440.413,0.967170
3.300,440.194,0.963307
3.310,440.371,0.965504
3.320,440.173,0.965163
3.330,440.395,0.967991
3.340,440.413,0.967172
3.350,440.194,0.963309
3.360,440.371,0.965501
3.370,440.173,0.965162
3.380,440.394,0.967987
3.390,440.413,0.967174
3.400,440.194,0.963311
3.410,440.370,0.965499
3.420,440.173,0.965162
3.430,440.394,0.967983
3.440,440.413,0.967176
3.450,440.194,0.963313
3.460,440.370,0.965497
3.470,440.173,0.965161
3.480,440.394,0.967978
3.490,440.413,0.967178
3.500,440.194,0.963315
3.510,440.370,0.965494
3.520,440.172,0.965161
3.530,440.393,0.967974
3.540,440.413,0.967181
3.550,440.194,0.963318
3.560,440.370,0.965492
3.570,440.172,0.965161
3.580,440.393,0.967969
3.590,440.413,0.967184
3.600,440.194,0.963320
3.610,440.370,0.965489
3.620,440.172,0.965161
3.630,440.393,0.967965
3.640,440.413,0.967189
3.650,440.194,0.963322
3.660,440.370,0.965487
3.670,440.172,0.965161
3.680,440.392,0.967960
3.690,440.413,0.967193
3.700,440.193,0.963324
3.710,440.370,0.965484
3.720,440.172,0.965161
3.730,440.392,0.967955
3.740,440.413,0.967198
3.750,440.194,0.963326
3.760,440.370,0.965482
3.770,440.172,0.965161
3.780,440.392,0.967950
3.790,440.413,0.967202
3.800,440.193,0.963328
3.810,440.370,0.965479
3.820,440.172,0.965161
3.830,440.391,0.967945
3.840,440.413,0.967206
3.850,440.193,0.963330
3.860,440.370,0.965477
3.870,440.172,0.965160
3.880,440.391,0.967940
3.890,440.413,0.967211
3.900,440.193,0.963332
3.910,440.370,0.965474
3.920,440.172,0.965160
3.930,440.391,0.967934
3.940,440.413,0.967215
3.950,440.193,0.963333
3.960,440.370,0.965471
3.970,440.172,0.965159
3.980,440.390,0.967929
3.990,440.413,0.967220
4.000,440.193,0.963335
4.010,440.369,0.965470
4.020,440.172,0.965158
4.030,440.390,0.967924
4.040,440.414,0.967225
4.050,440.193,0.963337
4.060,440.369,0.965469
4.070,440.172,0.965157
4.080,440.390,0.967919
4.090,440.413,0.967230
4.100,440.193,0.963338
4.110,440.369,0.965468
4.120,440.172,0.965155
4.130,440.389,0.967914
4.140,440.413,0.967235
4.150,440.193,0.963340
4.160,440.369,0.965467
4.170,440.172,0.965154
4.180,440.389,0.967909
4.190,440.414,0.967240
4.200,440.192,0.963342
4.210,440.369,0.965466
4.220,440.172,0.965152
4.230,440.389,0.967903
4.240,440.414,0.967245
4.250,440.192,0.963344
4.260,440.369,0.965464
4.270,440.171,0.965150
4.280,440.388,0.967898
4.290,440.413,0.967249
4.300,440.192,0.963345
4.310,440.369,0.965462
4.320,440.171,0.965147
4.330,440.388,0.967892
4.340,440.413,0.967254
4.350,440.192,0.963346
4.360,440.369,0.965460
4.370,440.171,0.965145
4.380,440.388,0.967887
4.390,440.413,0.967258
4.400,440.192,0.963346
4.410,440.369,0.965458
4.420,440.171,0.965143
4.430,440.387,0.967881
4.440,440.413,0.967263
4.450,440.191,0.963347
4.460,440.369,0.965455
4.470,440.171,0.965142
4.480,440.387,0.967875
4.490,440.413,0.967267
4.500,440.191,0.963347
4.510,440.369,0.965453
4.520,440.171,0.965140
4.530,440.387,0.967869
4.540,440.413,0.967272
4.550,440.191,0.963347
4.560,440.369,0.965450
4.570,440.171,0.965138
4.580,440.386,0.967863
4.590,440.413,0.967277
4.600,440.191,0.963348
4.610,440.369,0.965447
4.620,440.170,0.965136
4.630,440.386,0.967857
4.640,440.413,0.967281
4.650,440.191,0.963349
4.660,440.369,0.965445
4.670,440.170,0.965135
4.680,440.386,0.967851
4.690,440.413,0.967287
4.700,440.191,0.963350
4.710,440.369,0.965442
4.720,440.170,0.965133
4.730,440.385,0.967845
4.740,440.413,0.967292
4.750,440.191,0.963350
4.760,440.369,0.965440
4.770,440.170,0.965131
4.780,440.385,0.967839
4.790,440.413,0.967298
4.800,440.191,0.963351
4.810,440.369,0.965437
4.820,440.170,0.965128
4.830,440.385,0.967833
4.840,440.413,0.967303
4.850,440.190,0.963351
4.860,440.369,0.965435
4.870,440.170,0.965126
4.880,440.384,0.967827
4.890,440.413,0.967308
4.900,440.190,0.963350
4.910,440.369,0.965433
4.920,440.170,0.965123
4.930,440.384,0.967821
4.940,440.413,0.967313
4.950,440.190,0.963350
4.960,440.368,0.965431
4.970,440.207,0.965895
4.980,440.127,0.945257
4.990,440.010,0.891808
5.000,440.509,0.698482
